cruise, day, pressure, theta, density, temp, salinity, oxygen, nitrate, 
280, 9965,    0.0, -9.0000,  -9.000, 24.9017, -9.0000,    -9.0,   2.845,
280, 9965,    2.0, 25.0016,  23.287, 25.0021, 34.9260,   205.2,   3.043,
280, 9965,    4.0, 25.0060,  23.282, 25.0069, 34.9214,   205.2,   2.901,
280, 9965,    6.0, 25.0005,  23.284, 25.0018, 34.9215,   205.1,   2.847,
280, 9965,    8.0, 24.9917,  23.288, 24.9935, 34.9233,   205.4,   2.953,
280, 9965,   10.0, 24.9869,  23.288, 24.9891, 34.9215,   205.3,   2.994,
280, 9965,   12.0, 24.9821,  23.291, 24.9847, 34.9233,   205.2,   3.003,
280, 9965,   14.0, 24.9761,  23.292, 24.9791, 34.9234,   205.2,   2.808,
280, 9965,   16.0, 24.9684,  23.296, 24.9719, 34.9245,   205.4,   2.766,
280, 9965,   18.0, 24.9608,  23.298, 24.9647, 34.9245,   205.5,   2.999,
280, 9965,   20.0, 24.9574,  23.299, 24.9617, 34.9247,   205.7,   2.582,
280, 9965,   22.0, 24.9542,  23.300, 24.9590, 34.9253,   205.6,   2.858,
280, 9965,   24.0, 24.9523,  23.301, 24.9575, 34.9258,   205.5,   2.943,
280, 9965,   26.0, 24.9472,  23.303, 24.9528, 34.9259,   205.3,   2.811,
280, 9965,   28.0, 24.9458,  23.304, 24.9519, 34.9266,   205.4,   2.641,
280, 9965,   30.0, 24.9458,  23.305, 24.9522, 34.9275,   205.3,   2.711,
280, 9965,   32.0, 24.9439,  23.306, 24.9509, 34.9283,   205.0,   3.058,
280, 9965,   34.0, 24.9414,  23.307, 24.9487, 34.9292,   205.1,   2.545,
280, 9965,   36.0, 24.9391,  23.309, 24.9469, 34.9300,   205.2,   2.861,
280, 9965,   38.0, 24.9383,  23.310, 24.9466, 34.9312,   205.3,   2.711,
280, 9965,   40.0, 24.9365,  23.311, 24.9452, 34.9326,   205.4,   2.542,
280, 9965,   42.0, 24.9347,  23.313, 24.9438, 34.9343,   205.5,   2.843,
280, 9965,   44.0, 24.9329,  23.315, 24.9424, 34.9357,   205.5,   2.970,
280, 9965,   46.0, 24.9311,  23.316, 24.9411, 34.9369,   205.4,   2.681,
280, 9965,   48.0, 24.9277,  23.318, 24.9381, 34.9377,   205.2,   2.968,
280, 9965,   50.0, 24.9258,  23.320, 24.9366, 34.9393,   205.6,   2.938,
280, 9965,   52.0, 24.9242,  23.321, 24.9354, 34.9407,   205.2,   2.680,
280, 9965,   54.0, 24.9221,  23.324, 24.9338, 34.9431,   205.1,   3.182,
280, 9965,   56.0, 24.9209,  23.324, 24.9330, 34.9436,   205.3,   2.699,
280, 9965,   58.0, 24.9194,  23.326, 24.9319, 34.9455,   205.4,   2.691,
280, 9965,   60.0, 24.9181,  23.328, 24.9311, 34.9468,   205.8,   2.705,
280, 9965,   62.0, 24.9168,  23.330, 24.9302, 34.9494,   205.4,   3.000,
280, 9965,   64.0, 24.9101,  23.334, 24.9239, 34.9521,   205.3,   2.609,
280, 9965,   66.0, 24.8942,  23.344, 24.9084, 34.9589,   204.9,   2.951,
280, 9965,   68.0, 24.8634,  23.360, 24.8781, 34.9675,   205.2,   2.711,
280, 9965,   70.0, 24.8754,  23.349, 24.8905, 34.9581,   205.3,   2.468,
280, 9965,   72.0, 24.8587,  23.365, 24.8742, 34.9722,   205.6,   2.991,
280, 9965,   74.0, 24.8357,  23.375, 24.8517, 34.9764,   205.5,   2.990,
280, 9965,   76.0, 24.8077,  23.390, 24.8241, 34.9855,   205.7,   3.075,
280, 9965,   78.0, 24.7746,  23.408, 24.7914, 34.9961,   205.4,   3.034,
280, 9965,   80.0, 24.7349,  23.429, 24.7521, 35.0079,   205.8,   2.992,
280, 9965,   82.0, 24.6893,  23.450, 24.7069, 35.0171,   205.6,   3.185,
280, 9965,   84.0, 24.6458,  23.471, 24.6638, 35.0274,   205.8,   3.435,
280, 9965,   86.0, 24.5944,  23.496, 24.6128, 35.0398,   206.1,   3.035,
280, 9965,   88.0, 24.5193,  23.534, 24.5382, 35.0598,   206.2,   2.791,
280, 9965,   90.0, 24.4710,  23.562, 24.4902, 35.0780,   206.3,   2.882,
280, 9965,   92.0, 24.3794,  23.610, 24.3990, 35.1054,   205.8,   2.917,
280, 9965,   94.0, 24.2862,  23.651, 24.3062, 35.1234,   205.9,   2.936,
280, 9965,   96.0, 24.1880,  23.693, 24.2083, 35.1403,   206.1,   3.015,
280, 9965,   98.0, 24.0700,  23.743, 24.0907, 35.1596,   205.5,   3.149,
280, 9965,  100.0, 23.9117,  23.796, 23.9327, 35.1675,   205.3,   3.031,
280, 9965,  102.0, 23.8220,  23.826, 23.8434, 35.1719,   205.1,   3.127,
280, 9965,  104.0, 23.7181,  23.860, 23.7399, 35.1760,   204.7,   2.962,
280, 9965,  106.0, 23.6492,  23.883, 23.6713, 35.1800,   204.7,   3.027,
280, 9965,  108.0, 23.5143,  23.927, 23.5367, 35.1864,   204.6,   2.775,
280, 9965,  110.0, 23.4364,  23.953, 23.4592, 35.1897,   204.6,   2.701,
280, 9965,  112.0, 23.3166,  23.994, 23.3397, 35.1987,   204.6,   3.206,
280, 9965,  114.0, 23.2500,  24.015, 23.2735, 35.2012,   204.4,   3.130,
280, 9965,  116.0, 23.1747,  24.041, 23.1985, 35.2061,   204.3,   3.044,
280, 9965,  118.0, 23.0828,  24.070, 23.1070, 35.2086,   203.9,   3.147,
280, 9965,  120.0, 23.0146,  24.091, 23.0392, 35.2109,   203.4,   3.142,
280, 9965,  122.0, 22.9178,  24.121, 22.9427, 35.2136,   203.1,   2.934,
280, 9965,  124.0, 22.8049,  24.155, 22.8301, 35.2157,   202.7,   3.051,
280, 9965,  126.0, 22.7207,  24.180, 22.7463, 35.2172,   202.6,   3.077,
280, 9965,  128.0, 22.5882,  24.220, 22.6140, 35.2193,   203.1,   2.986,
280, 9965,  130.0, 22.4988,  24.244, 22.5249, 35.2175,   202.6,   2.975,
280, 9965,  132.0, 22.4058,  24.269, 22.4323, 35.2161,   202.1,   3.543,
280, 9965,  134.0, 22.3153,  24.294, 22.3421, 35.2155,   201.6,   3.471,
280, 9965,  136.0, 22.2023,  24.325, 22.2295, 35.2137,   200.6,   3.153,
280, 9965,  138.0, 22.0731,  24.359, 22.1005, 35.2110,   200.4,   3.102,
280, 9965,  140.0, 21.9370,  24.395, 21.9647, 35.2073,   200.3,   3.555,
280, 9965,  142.0, 21.8238,  24.424, 21.8518, 35.2039,   199.7,   3.436,
280, 9965,  144.0, 21.7426,  24.444, 21.7709, 35.2016,   199.5,   2.872,
280, 9965,  146.0, 21.6219,  24.475, 21.6505, 35.1981,   198.7,   3.335,
280, 9965,  148.0, 21.4928,  24.506, 21.5216, 35.1921,   198.7,   3.635,
280, 9965,  150.0, 21.3657,  24.535, 21.3948, 35.1842,   198.1,   3.598,
280, 9965,  152.0, 21.2646,  24.561, 21.2940, 35.1809,   197.6,   3.698,
280, 9965,  154.0, 21.1290,  24.594, 21.1586, 35.1756,   197.0,   3.599,
280, 9965,  156.0, 21.0043,  24.622, 21.0342, 35.1673,   196.8,   3.895,
280, 9965,  158.0, 20.9190,  24.636, 20.9492, 35.1561,   196.8,   3.644,
280, 9965,  160.0, 20.8139,  24.661, 20.8444, 35.1512,   196.8,   3.684,
280, 9965,  162.0, 20.6802,  24.691, 20.7110, 35.1433,   196.9,   3.966,
280, 9965,  164.0, 20.5499,  24.719, 20.5808, 35.1343,   196.7,   3.915,
280, 9965,  166.0, 20.4495,  24.739, 20.4807, 35.1246,   196.1,   3.869,
280, 9965,  168.0, 20.3419,  24.764, 20.3734, 35.1195,   195.8,   4.053,
280, 9965,  170.0, 20.2498,  24.782, 20.2815, 35.1121,   195.4,   4.115,
280, 9965,  172.0, 20.1523,  24.802, 20.1844, 35.1043,   195.3,   4.348,
280, 9965,  174.0, 20.0473,  24.823, 20.0796, 35.0945,   194.7,   4.498,
280, 9965,  176.0, 19.9302,  24.845, 19.9627, 35.0838,   194.9,   4.055,
280, 9965,  178.0, 19.8150,  24.872, 19.8477, 35.0788,   195.4,   4.361,
280, 9965,  180.0, 19.6754,  24.891, 19.7083, 35.0565,   195.2,   4.209,
280, 9965,  182.0, 19.5413,  24.914, 19.5744, 35.0404,   194.3,   4.398,
280, 9965,  184.0, 19.4686,  24.925, 19.5020, 35.0299,   194.2,   4.710,
280, 9965,  186.0, 19.2848,  24.952, 19.3184, 35.0039,   194.4,   4.577,
280, 9965,  188.0, 19.1929,  24.976, 19.2267, 35.0036,   193.8,   4.762,
280, 9965,  190.0, 19.0563,  24.990, 19.0903, 34.9769,   193.3,   5.232,
280, 9965,  192.0, 18.9395,  25.008, 18.9738, 34.9614,   193.2,   4.571,
280, 9965,  194.0, 18.7919,  25.030, 18.8262, 34.9412,   193.3,   4.817,
280, 9965,  196.0, 18.6800,  25.044, 18.7145, 34.9218,   192.4,   5.433,
280, 9965,  198.0, 18.4956,  25.075, 18.5303, 34.9014,   192.5,   5.408,
280, 9965,  200.0, 18.3536,  25.095, 18.3885, 34.8817,   192.2,   5.476,
280, 9965,  202.0, 18.2255,  25.110, 18.2605, 34.8594,   192.2,   5.646,
280, 9965,  204.0, 18.0836,  25.135, 18.1188, 34.8467,   192.2,   5.984,
280, 9965,  206.0, 18.0000,  25.147, 18.0354, 34.8356,   192.2,   5.902,
280, 9965,  208.0, 17.9179,  25.158, 17.9535, 34.8232,   192.3,   5.639,
280, 9965,  210.0, 17.8020,  25.177, 17.8378, 34.8109,   192.2,   5.919,
280, 9965,  212.0, 17.6783,  25.195, 17.7142, 34.7952,   192.6,   5.826,
280, 9965,  214.0, 17.5980,  25.203, 17.6342, 34.7795,   192.1,   5.579,
280, 9965,  216.0, 17.4736,  25.224, 17.5099, 34.7688,   192.3,   6.264,
280, 9965,  218.0, 17.3678,  25.239, 17.4044, 34.7553,   192.7,   6.059,
280, 9965,  220.0, 17.2085,  25.262, 17.2451, 34.7349,   192.4,   6.040,
280, 9965,  222.0, 17.0531,  25.284, 17.0898, 34.7152,   192.8,   6.500,
280, 9965,  224.0, 16.9270,  25.302, 16.9639, 34.6991,   193.1,   6.491,
280, 9965,  226.0, 16.7929,  25.318, 16.8299, 34.6789,   192.9,   6.297,
280, 9965,  228.0, 16.6430,  25.342, 16.6801, 34.6646,   193.6,   6.100,
280, 9965,  230.0, 16.5016,  25.362, 16.5387, 34.6482,   194.5,   6.509,
280, 9965,  232.0, 16.3651,  25.380, 16.4024, 34.6301,   194.8,   6.643,
280, 9965,  234.0, 16.2456,  25.399, 16.2830, 34.6185,   195.3,   6.136,
280, 9965,  236.0, 16.1169,  25.414, 16.1544, 34.6001,   195.8,   6.546,
280, 9965,  238.0, 16.0076,  25.423, 16.0453, 34.5786,   196.2,   6.948,
280, 9965,  240.0, 15.8853,  25.444, 15.9231, 34.5705,   196.6,   7.409,
280, 9965,  242.0, 15.7246,  25.465, 15.7625, 34.5502,   196.2,   7.362,
280, 9965,  244.0, 15.5914,  25.483, 15.6293, 34.5344,   196.5,   7.447,
280, 9965,  246.0, 15.4050,  25.505, 15.4429, 34.5096,   196.9,   7.435,
280, 9965,  248.0, 15.2376,  25.525, 15.2756, 34.4876,   197.5,   7.519,
280, 9965,  250.0, 15.1193,  25.546, 15.1574, 34.4808,   197.9,   8.151,
280, 9965,  252.0, 15.0059,  25.558, 15.0441, 34.4637,   198.2,   8.275,
280, 9965,  254.0, 14.8724,  25.574, 14.9106, 34.4463,   198.2,   8.711,
280, 9965,  256.0, 14.7218,  25.570, 14.7600, 34.3991,   198.1,   8.915,
280, 9965,  258.0, 14.6253,  25.602, 14.6636, 34.4133,   198.1,   8.611,
280, 9965,  260.0, 14.5471,  25.611, 14.5856, 34.4031,   198.0,   8.725,
280, 9965,  262.0, 14.4302,  25.627, 14.4688, 34.3913,   198.7,   9.314,
280, 9965,  264.0, 14.2921,  25.643, 14.3307, 34.3750,   198.9,   9.616,
280, 9965,  266.0, 14.1309,  25.663, 14.1696, 34.3560,   198.4,   9.703,
280, 9965,  268.0, 14.0058,  25.678, 14.0445, 34.3417,   196.5,   9.756,
280, 9965,  270.0, 13.8579,  25.696, 13.8966, 34.3248,   196.1,  10.328,
280, 9965,  272.0, 13.7837,  25.708, 13.8225, 34.3209,   195.6,  10.037,
280, 9965,  274.0, 13.7157,  25.713, 13.7547, 34.3099,   195.7,  10.178,
280, 9965,  276.0, 13.6014,  25.730, 13.6405, 34.3002,   195.6,  10.664,
280, 9965,  278.0, 13.4381,  25.751, 13.4771, 34.2849,   196.1,  10.712,
280, 9965,  280.0, 13.3298,  25.767, 13.3689, 34.2776,   196.0,  10.639,
280, 9965,  282.0, 13.2054,  25.783, 13.2445, 34.2653,   196.3,  10.767,
280, 9965,  284.0, 13.1191,  25.797, 13.1584, 34.2608,   196.3,  11.116,
280, 9965,  286.0, 13.0230,  25.809, 13.0623, 34.2515,   196.7,  11.839,
280, 9965,  288.0, 12.9370,  25.819, 12.9764, 34.2418,   197.0,  12.241,
280, 9965,  290.0, 12.8224,  25.837, 12.8619, 34.2364,   197.1,  12.262,
280, 9965,  292.0, 12.7426,  25.849, 12.7821, 34.2306,   197.2,  12.401,
280, 9965,  294.0, 12.6314,  25.864, 12.6710, 34.2223,   197.2,  12.445,
280, 9965,  296.0, 12.5434,  25.875, 12.5830, 34.2146,   196.8,  12.102,
280, 9965,  298.0, 12.4589,  25.887, 12.4987, 34.2092,   196.8,  12.732,
280, 9965,  300.0, 12.3742,  25.900, 12.4141, 34.2040,   197.2,  13.520,
280, 9965,  302.0, 12.3010,  25.911, 12.3410, 34.2001,   197.6,  13.376,
280, 9965,  304.0, 12.2098,  25.924, 12.2498, 34.1944,   198.0,  13.154,
280, 9965,  306.0, 12.1341,  25.935, 12.1743, 34.1904,   198.1,  13.596,
280, 9965,  308.0, 12.0445,  25.948, 12.0847, 34.1846,   198.2,  13.760,
280, 9965,  310.0, 11.9654,  25.960, 12.0057, 34.1807,   198.6,  14.044,
280, 9965,  312.0, 11.9063,  25.970, 11.9468, 34.1793,   199.3,  14.141,
280, 9965,  314.0, 11.8546,  25.978, 11.8952, 34.1766,   199.5,  14.514,
280, 9965,  316.0, 11.7729,  25.990, 11.8135, 34.1724,   199.3,  14.689,
280, 9965,  318.0, 11.6949,  26.003, 11.7356, 34.1707,   199.7,  14.754,
280, 9965,  320.0, 11.6337,  26.013, 11.6745, 34.1687,   200.8,  14.683,
280, 9965,  322.0, 11.5725,  26.023, 11.6135, 34.1670,   200.9,  14.453,
280, 9965,  324.0, 11.5026,  26.034, 11.5437, 34.1649,   201.0,  14.597,
280, 9965,  326.0, 11.4064,  26.050, 11.4475, 34.1621,   201.4,  14.944,
280, 9965,  328.0, 11.3319,  26.061, 11.3730, 34.1597,   201.2,  15.375,
280, 9965,  330.0, 11.2453,  26.073, 11.2865, 34.1548,   201.1,  15.421,
280, 9965,  332.0, 11.1580,  26.087, 11.1993, 34.1525,   200.0,  15.416,
280, 9965,  334.0, 11.0763,  26.099, 11.1176, 34.1485,   198.6,  15.562,
280, 9965,  336.0, 11.0004,  26.110, 11.0418, 34.1448,   196.9,  16.129,
280, 9965,  338.0, 10.9223,  26.122, 10.9637, 34.1422,   193.7,  16.690,
280, 9965,  340.0, 10.8576,  26.133, 10.8991, 34.1415,   189.0,  16.647,
