site_id,sample_date,primary_contact_rank,secondary_contact_rank,current_weather,past_weather,water_clarity_rank,suspended_phytoplankton_rank,periphyton_rank,macrophyte_rank,odor_rank,trash_rank,discharge_pipe_rank,primary_affecting_variable,secondary_affecting_variable,user_comment
04-BADN-8.7,7/24/2019,B,A,Sun,Rain,1,0,4,0,0,1,0,Periphyton,None,UPDATED river mile from 9.6 to 8.7. Samplers had to move site.
04-BERD-5.6,7/2/2014,C,C,Sun,Rain,6,5,,2,0,0,0,None,None,Deep muddy wetland
04-BERD_T1-1.6,7/2/2014,B,A,Sun,Rain,2,0,0,0,0,1,1,Water Clarity,Trash,
04-BIDW-1.5,7/3/2014,C,B,Sun,Rain,1,0,7,0,0,0,0,None,None,Small low flow
04-BIDW-1.5,7/29/2015,B,B,Sun,Sun,1,0,1,1,0,1,0,None,None,
04-BIDW_T4-0.6,7/24/2019,D,D,Sun,Rain,6,5,5,0,0,3,0,Proximity_to_Development_Roads,Water Clarity,
04-BRON-3.2,7/29/2009,C,C,Rain,NA,2,1,4,1,0,0,0,Periphyton,None,Fair amount of silt on rocks
04-BRON-4.7,7/2/2014,B,B,Clouds,Rain,2,0,8,0,0,0,0,Periphyton,None,Leaches
04-BSPR-0.6,7/1/2014,B,A,Sun,Clouds,1,0,6,3,1,1,0,Periphyton,Trash,
04-BSPR-0.6,7/30/2015,A,A,Sun,Rain,0,0,1,4,0,0,1,None,None,
04-BUCK-2.0,7/24/2019,C,A,Sun,Clouds,1,0,3,0,0,1,0,Periphyton,None,Low flow
04-CONE-1.9,7/23/2019,B,A,Rain,Rain,1,0,2,0,0,1,0,Periphyton,None,
04-CONE-1.9,7/1/2014,A,A,Sun,Rain,0,0,5,0,0,1,0,None,None,"Should not swim, there was leach"
04-CONE-1.9,7/29/2009,D,D,Clouds,Sun,3,0,5,2,5,1,0,Odor,None,
04-CONE-9.5,8/28/2013,E,E,Sun,Sun,5,0,4,3,7,1,5,Water Clarity,None,Treatment plant
04-CONE-9.9,8/28/2013,D,C,Sun,Sun,0,1,4,5,7,1,0,Phytoplankton,Periphyton,
04-CRIS-1.4,9/25/2014,D,D,Sun,Sun,2,0,4,2,0,0,2,None,None,Very ag heavy. Moss much silt on rocks . Tractor traffic through stream below our sampling point
04-CRIS-2.6,9/24/2014,C,B,Sun,Sun,2,0,1,0,0,0,0,None,None,"Traffic, silt, huse and lawn"
04-CRIS-3.7,9/24/2014,C,B,Sun,Sun,2,0,0,0,0,0,0,Periphyton,None,
