Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,Individual_ID,Phenophase_ID,Phenophase_Description,FirstObs_Year,FirstObs_Month,FirstObs_Day,FirstObs_DOY,FirstObs_Julian_Date,LastObs_Year,LastObs_Month,LastObs_Day,LastObs_DOY,LastObs_Julian_Date,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,471,Falling_leaves,2013,10,19,292,2456585,2013,11,11,315,2456608,2.46,13.09,26.04,15.33,218,165,386,210
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,483,Leaves,2013,10,19,292,2456585,2013,11,7,311,2456604,2.46,13.09,26.04,15.33,218,165,386,210
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,498,Colored_leaves,2013,10,19,292,2456585,2013,11,7,311,2456604,2.46,13.09,26.04,15.33,218,165,386,210
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,504,Recent_fruit_or_seed_drop,2013,10,19,292,2456585,2013,10,19,292,2456585,2.46,13.09,26.04,15.33,218,165,386,210
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,371,Breaking_leaf_buds,2014,4,23,113,2456771,2014,4,30,120,2456778,3.62,15,27.82,18.41,344,431,301,211
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,483,Leaves,2014,4,30,120,2456778,2014,4,30,120,2456778,3.62,15,27.82,18.41,344,431,301,211
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,500,Flowers_or_flower_buds,2014,5,14,134,2456792,2014,5,14,134,2456792,3.62,15,27.82,18.41,344,431,301,211
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,501,Open_flowers,2014,5,14,134,2456792,2014,5,14,134,2456792,3.62,15,27.82,18.41,344,431,301,211
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,371,Breaking_leaf_buds,2015,5,5,125,2457148,2015,5,5,125,2457148,-1.56,13.12,25.53,15.25,130,212,367,190
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,467,Increasing_leaf_size,2015,5,5,125,2457148,2015,5,12,132,2457155,-1.56,13.12,25.53,15.25,130,212,367,190
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,483,Leaves,2015,5,5,125,2457148,2015,7,16,197,2457220,-1.56,13.12,25.53,15.25,130,212,367,190
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,500,Flowers_or_flower_buds,2015,5,21,141,2457164,2015,5,21,141,2457164,-1.56,13.12,25.53,15.25,130,212,367,190
12249,Cayuga_Nature_Center,42.518417,-76.556999,175,52580,516,Fruits,2015,7,16,197,2457220,2015,7,16,197,2457220,-1.56,13.12,25.53,15.25,130,212,367,190
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,371,Breaking_leaf_buds,2015,5,6,126,2457149,2015,9,9,252,2457275,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,467,Increasing_leaf_size,2015,5,6,126,2457149,2015,9,23,266,2457289,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,471,Falling_leaves,2015,10,8,281,2457304,2015,10,8,281,2457304,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,471,Falling_leaves,2015,10,21,294,2457317,2015,10,21,294,2457317,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,483,Leaves,2015,5,6,126,2457149,2015,10,21,294,2457317,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,498,Colored_leaves,2015,9,9,252,2457275,2015,9,9,252,2457275,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,498,Colored_leaves,2015,10,8,281,2457304,2015,10,21,294,2457317,2.85,16.05,28.65,18.13,374,217,253,275
25220,Conservatory_Drive,40.864151,-73.881241,31,73294,516,Fruits,2015,10,8,281,2457304,2015,10,15,288,2457311,2.85,16.05,28.65,18.13,374,217,253,275
21230,home,40.814957,-73.679008,54,91877,390,Ripe_fruits,2015,7,17,198,2457221,2015,10,28,301,2457324,2.91,15.3,28.04,17.86,334,198,275,306
21230,home,40.814957,-73.679008,54,91877,471,Falling_leaves,2015,10,28,301,2457324,2015,11,10,314,2457337,2.91,15.3,28.04,17.86,334,198,275,306
21230,home,40.814957,-73.679008,54,91877,483,Leaves,2015,7,17,198,2457221,2015,11,10,314,2457337,2.91,15.3,28.04,17.86,334,198,275,306
